name,ks_score,ks_sign,p_value,t_test_p_value,diff_means
K00867.type_I_pantothenate_kinase.,0.971428571429,-,3.61377594515e-13,0.000920864012657,-6.98016101993e-05
K04108.4.hydroxybenzoyl.CoA_reductase_subunit_alpha.,0.942857142857,-,1.91779925274e-12,1.01881466665e-05,-7.82309369599e-05
K00721.dolichol.phosphate_mannosyltransferase.,0.942857142857,+,1.91779925274e-12,4.79536015637e-14,0.000444312105831
K03753.molybdopterin.guanine_dinucleotide_biosynthesis_protein_B.,0.935714285714,-,2.57593946174e-12,1.18512071392e-06,-6.62161885038e-05
K13641.IclR_family_transcriptional_regulator._acetate_operon_repressor.,0.935714285714,-,2.57593946174e-12,0.000170886123354,-0.00015889913948
K02774.PTS_system._galactitol.specific_IIB_component.,0.935714285714,-,2.57593946174e-12,9.80608356999e-05,-0.000159053874234
K08173.MFS_transporter._MHS_family._metabolite.H._symporter.,0.935714285714,-,2.57593946174e-12,0.00028257651985,-6.91101188013e-05
K01232.maltose.6..phosphate_glucosidase.,0.914285714286,-,9.58411128238e-12,0.000403795870235,-0.000143144418747
K01222.6.phospho.beta.glucosidase.,0.914285714286,-,9.58411128238e-12,1.97295088106e-07,-0.000111462090287
K00687.penicillin.binding_protein_2B.,0.914285714286,-,9.58411128238e-12,0.00395924317117,-3.78643396417e-05
K01464.dihydropyrimidinase.,0.907142857143,-,1.47524215066e-11,0.000175054593423,-0.000591269446289
K07112.N.acetylmuramic_acid_6.phosphate_etherase.,0.907142857143,-,1.47524215066e-11,2.62509360332e-07,-8.22784060306e-05
K03311.branched.chain_amino_acid.cation_transporter._LIVCS_family.,0.907142857143,-,1.47524215066e-11,2.36565200174e-07,-0.000220064909701
K08172.MFS_transporter._MHS_family._shikimate_and_dehydroshikimatetransport_protein.,0.907142857143,-,1.47524215066e-11,0.000189082611059,-7.03585538495e-05
K03293.amino_acid_transporter._AAT_family.,0.907142857143,-,1.47524215066e-11,0.000481937005307,-0.000596253956554
K03483.mannitol_operon_transcriptional_antiterminator.,0.9,-,2.26281215987e-11,1.9892344075e-07,-0.000116603669858
K02532.MFS_transporter._OHS_family._lactose_permease.,0.9,-,2.26281215987e-11,3.76146126968e-06,-6.49394072874e-05
K02053.putative_spermidine.putrescine_transport_system_permease_protein.,0.9,-,2.26281215987e-11,7.95412611851e-05,-6.37438705061e-05
K02777.PTS_system._glucose.specific_IIA_component.,0.9,-,2.26281215987e-11,1.64604508555e-09,-0.000588850495486
K03299.gluconate.H._symporter._GntP_family.,0.9,-,2.26281215987e-11,5.277522879e-05,-0.000103646069144
K01595.phosphoenolpyruvate_carboxylase.,0.9,-,2.26281215987e-11,4.74029709598e-06,-0.000409857054621
K01042.L.seryl.tRNA.Ser._seleniumtransferase.,0.9,-,2.26281215987e-11,6.67419285407e-07,-0.000168634482211
K02744.PTS_system._N.acetylgalactosamine.specific_IIA_component.,0.892857142857,-,3.0035529619e-11,1.20611736205e-09,-0.000202003105203
K02796.PTS_system._mannose.specific_IID_component.,0.885714285714,-,4.57948123866e-11,9.1375213745e-06,-0.00107503094108
K02809.PTS_system._sucrose.specific_IIB_component.,0.885714285714,-,4.57948123866e-11,1.12639768675e-06,-0.000342653822317
K13000.mannosyltransferase.,0.885714285714,+,4.57948123866e-11,4.46008336893e-08,5.21474437891e-05
K06205.MioC_protein.,0.878571428571,-,6.95725699273e-11,0.0476351174566,-3.12457375737e-05
K12527.putative_selenate_reductase.,0.878571428571,-,6.95725699273e-11,3.82347452966e-06,-6.97678756798e-05
K02530.DeoR_family_transcriptional_regulator._lactose_phosphotransferasesystem_repressor.,0.878571428571,-,6.95725699273e-11,9.37988067937e-07,-0.000111538450263
K02244.competence_protein_ComGB.,0.878571428571,-,6.95725699273e-11,0.0016230869327,-4.38893312789e-05
K03354.anaphase.promoting_complex_subunit_7.,0.878571428571,+,6.95725699273e-11,4.48968626987e-09,0.000153927530605
K01354.oligopeptidase_B.,0.871428571429,-,1.05316311227e-10,0.00272758482703,-4.0756250663e-05
K00087.xanthine_dehydrogenase_molybdenum.binding_subunit.,0.871428571429,-,1.05316311227e-10,2.18826927801e-09,-0.00023369027596
K12972.gyoxylate.hydroxypyruvate_reductase_A.,0.871428571429,-,1.05316311227e-10,0.000977444374917,-0.000275719086086
K02769.PTS_system._fructose.specific_IIB_component.,0.871428571429,-,1.05316311227e-10,1.06913732953e-07,-0.000161763975731
K03480.transcriptional_antiterminator.,0.871428571429,-,1.05316311227e-10,6.83433034351e-07,-0.000104535464371
K02538.activator_of_the_mannose_operon._transcriptional_antiterminator.,0.864285714286,-,1.58851598542e-10,8.58898142753e-08,-7.48905173583e-05
K06726.D.ribose_pyranase.,0.864285714286,-,1.58851598542e-10,1.63573353789e-06,-7.38764511894e-05
K03481.RpiR_family_transcriptional_regulator._glv_operon_transcriptionalregulator.,0.864285714286,-,1.58851598542e-10,1.86851082498e-07,-0.000290235448119
K01751.diaminopropionate_ammonia.lyase.,0.864285714286,-,1.58851598542e-10,4.2442994731e-06,-7.94784001658e-05
K13637.GntR_family_transcriptional_regulator._uxuAB_operon_transcriptionalrepressor.,0.864285714286,-,1.58851598542e-10,0.0040739502557,-6.74788671624e-05
K02773.PTS_system._galactitol.specific_IIA_component.,0.864285714286,-,1.58851598542e-10,7.8645376294e-05,-0.000215630905218
K02781.PTS_system._glucitol.sorbitol.specific_IIA_component.,0.864285714286,-,1.58851598542e-10,8.36713845327e-05,-0.000104945899139
K02783.PTS_system._glucitol.sorbitol.specific_IIC_component.,0.864285714286,-,1.58851598542e-10,0.00122189488108,-4.35590403919e-05
K13480.xanthine_dehydrogenase_iron.sulfur.binding_subunit.,0.864285714286,-,1.58851598542e-10,1.33860404342e-05,-4.2258088562e-05
K02760.PTS_system._cellobiose.specific_IIB_component.,0.857142857143,-,2.08506212296e-10,4.30046629972e-08,-0.000229355241939
K06929.queuosine_biosynthesis_protein_QueC.,0.85,-,3.12613823716e-10,0.00174356092123,-3.3644291225e-05
K01223.6.phospho.beta.glucosidase.,0.85,-,3.12613823716e-10,7.2144961693e-09,-0.000445105618183
K03491.lichenan_operon_transcriptional_antiterminator.,0.85,-,3.12613823716e-10,9.07695799427e-07,-0.000181999939422
K03752.molybdopterin.guanine_dinucleotide_biosynthesis_protein_A.,0.85,-,3.12613823716e-10,5.54332062949e-06,-7.83183063622e-05
K00986.RNA.directed_DNA_polymerase.,0.85,+,3.12613823716e-10,1.91838339083e-12,0.000748966299813
K12257.SecD.SecF_fusion_protein.,0.85,+,3.12613823716e-10,5.45648685951e-10,0.000256762593182
K02055.putative_spermidine.putrescine_transport_system_substrate.bindingprotein.,0.842857142857,-,4.67018312911e-10,0.000175432733776,-6.27478307412e-05
